Date,EUR,GBP,JPY,INR,CNY,CAD,BRL,RUB,CZK,AUD,NZD,CHF,SEK,NOK
2007-11-30,1.4633,2.0563,0.00899,0.02523,0.13517,1.0016,0.5595,0.04101,0.05631,0.8844,0.7643,0.8834,0.156297,0.1804
2007-12-31,1.4589,1.985,0.008948,0.025373,0.13691,1.0017,0.5694,0.0409,0.055403,0.8751,0.7659,0.8821,0.154551,0.1839
2008-01-31,1.4861,1.9872,0.009395,0.025398,0.13924,0.9972,0.5621,0.04092,0.057074,0.8956,0.7876,0.9247,0.156984,0.1849
2008-02-29,1.5179,1.9891,0.00964,0.02501,0.14058,1.0123,0.5988,0.04165,0.060042,0.9309,0.7988,0.9604,0.162134,0.1917
2008-03-31,1.5788,1.9837,0.010031,0.024952,0.14261,0.9754,0.5739,0.0426,0.062477,0.9131,0.7859,1.0071,0.168292,0.1963
2008-04-30,1.5622,1.9869,0.009624,0.024635,0.14312,0.9921,0.5864,0.0422,0.061671,0.9437,0.7821,0.9666,0.167084,0.1967
2008-05-31,1.5554,1.9823,0.009477,0.023525,0.14408,1.0066,0.6108,0.04213,0.061749,0.956,0.783,0.9595,0.166572,0.1959
2008-06-30,1.5755,1.9923,0.009415,0.023248,0.1459,0.9789,0.6266,0.04272,0.065916,0.9586,0.7622,0.9793,0.166297,0.1965
2008-07-31,1.5603,1.9841,0.009268,0.023512,0.14637,0.976,0.6406,0.04269,0.065092,0.9423,0.7343,0.9551,0.165258,0.1948
2008-08-31,1.4673,1.8211,0.009192,0.022774,0.1463,0.94,0.6111,0.04068,0.059677,0.8578,0.7005,0.908,0.155015,0.1845
2008-09-30,1.4092,1.7805,0.009424,0.021288,0.14601,0.9395,0.5094,0.03935,0.058068,0.7924,0.6698,0.8912,0.144547,0.1706
2008-10-31,1.2726,1.6076,0.010156,0.02024,0.14621,0.8249,0.4762,0.03701,0.052716,0.6678,0.5827,0.8614,0.128689,0.1487
2008-11-30,1.2691,1.5377,0.010468,0.01996,0.1465,0.8065,0.4313,0.03605,0.051215,0.6553,0.549,0.8241,0.123429,0.1426
2008-12-31,1.3971,1.4593,0.011021,0.020542,0.14656,0.8202,0.429,0.03401,0.052737,0.7027,0.5793,0.9326,0.127674,0.1438
2009-01-31,1.2813,1.454,0.011115,0.020421,0.14601,0.814,0.436,0.02816,0.046169,0.6375,0.5089,0.8619,0.11981,0.1447
2009-02-28,1.2669,1.4318,0.010248,0.019633,0.1462,0.784,0.4251,0.02795,0.045345,0.639,0.5008,0.8553,0.110925,0.142
2009-03-31,1.325,1.4323,0.010104,0.019722,0.14634,0.7935,0.4292,0.02956,0.048588,0.6913,0.5595,0.8776,0.121258,0.1484
2009-04-30,1.323,1.479,0.010139,0.019981,0.14656,0.8387,0.4592,0.03027,0.049726,0.7256,0.5652,0.8769,0.124251,0.1525
2009-05-31,1.4158,1.619,0.01049,0.021197,0.14641,0.9171,0.4983,0.03245,0.052451,0.8011,0.6405,0.9372,0.132525,0.159
2009-06-30,1.4033,1.6458,0.010377,0.020865,0.1464,0.8604,0.5118,0.03218,0.054494,0.8064,0.6457,0.9208,0.129831,0.1555
2009-07-31,1.4257,1.6713,0.010562,0.020822,0.14637,0.9279,0.5312,0.03183,0.055158,0.8359,0.6618,0.9361,0.139054,0.1635
2009-08-31,1.4334,1.6288,0.010738,0.020466,0.14639,0.9144,0.5315,0.03139,0.056262,0.8439,0.6851,0.9444,0.140465,0.1662
2009-09-30,1.464,1.5982,0.01115,0.020789,0.1465,0.9351,0.5576,0.03332,0.058252,0.8828,0.7232,0.9651,0.143662,0.1732
2009-10-31,1.4719,1.6453,0.011099,0.021265,0.14645,0.9222,0.5779,0.03444,0.056054,0.8997,0.7181,0.9745,0.140931,0.1746
2009-11-30,1.5005,1.644,0.011574,0.021534,0.14647,0.9467,0.5746,0.03431,0.05759,0.916,0.716,0.9947,0.143349,0.1761
2009-12-31,1.4321,1.617,0.010753,0.021496,0.14648,0.9506,0.5746,0.03338,0.054443,0.8977,0.7228,0.9675,0.139735,0.1726
2010-01-31,1.3863,1.5986,0.011078,0.021631,0.14648,0.9343,0.534,0.03291,0.053214,0.8838,0.701,0.9429,0.135359,0.1687
2010-02-28,1.3631,1.5238,0.011246,0.021685,0.1465,0.9512,0.5481,0.03337,0.052441,0.8954,0.6982,0.9316,0.140404,0.1692
2010-03-31,1.351,1.5184,0.0107,0.022252,0.1465,0.9848,0.5589,0.03394,0.052964,0.9172,0.7106,0.9488,0.138537,0.1683
2010-04-30,1.3294,1.5274,0.010654,0.022544,0.14651,0.9826,0.5774,0.0343,0.052187,0.9243,0.727,0.9281,0.137889,0.1693
2010-05-31,1.2306,1.4538,0.010957,0.021545,0.14646,0.9574,0.551,0.0324,0.048208,0.8459,0.6805,0.8659,0.128033,0.1548
2010-06-30,1.2238,1.4945,0.011308,0.021534,0.14746,0.9399,0.5516,0.03208,0.047736,0.8408,0.6847,0.9283,0.128298,0.1539
2010-07-31,1.3052,1.5689,0.011568,0.02154,0.1476,0.9711,0.5682,0.03304,0.052429,0.9042,0.726,0.9605,0.138687,0.1646
2010-08-31,1.268,1.5348,0.011878,0.021256,0.1469,0.9384,0.5682,0.03244,0.051142,0.8906,0.699,0.9851,0.13542,0.1587
2010-09-30,1.3634,1.5716,0.011973,0.022247,0.14956,0.9716,0.5879,0.03269,0.055489,0.9671,0.7343,1.0177,0.148362,0.1702
2010-10-31,1.3947,1.6038,0.012438,0.02249,0.14991,0.981,0.5897,0.03245,0.056232,0.9835,0.7665,1.018,0.149922,0.171
2010-11-30,1.2983,1.5562,0.01195,0.021749,0.1499,0.9743,0.583,0.03185,0.052414,0.9588,0.7426,0.9966,0.142271,0.1611
2010-12-31,1.3384,1.5612,0.012323,0.022368,0.1515,1.002,0.6019,0.03275,0.053366,1.0233,0.7802,1.0693,0.148997,0.1718
2011-01-31,1.3694,1.6014,0.012189,0.021769,0.15163,0.999,0.5944,0.03354,0.056143,0.9974,0.7729,1.0593,0.155099,0.1731
2011-02-28,1.3806,1.6257,0.012228,0.022099,0.15216,1.0293,0.6012,0.03461,0.056624,1.0186,0.7524,1.0765,0.158101,0.1787
2011-03-31,1.4158,1.6028,0.012029,0.022427,0.15272,1.0303,0.6139,0.03525,0.0579,1.0329,0.7615,1.0881,0.158139,0.1805
2011-04-30,1.4807,1.6707,0.012313,0.022613,0.15406,1.0581,0.6328,0.03658,0.061517,1.0971,0.8099,1.1557,0.165503,0.1905
2011-05-31,1.4396,1.6448,0.012266,0.022199,0.15434,1.0324,0.6295,0.0357,0.058736,1.0672,0.8239,1.1711,0.162028,0.1859
2011-06-30,1.4502,1.6053,0.012413,0.022386,0.15472,1.038,0.6378,0.03585,0.059553,1.0722,0.8292,1.1898,0.158021,0.1856
2011-07-31,1.4398,1.6426,0.013027,0.022612,0.15535,1.0469,0.6371,0.03602,0.058892,1.0993,0.8793,1.2728,0.159289,0.186
2011-08-31,1.4369,1.625,0.013045,0.021694,0.15678,1.0228,0.6266,0.03455,0.059864,1.0707,0.8541,1.2408,0.157634,0.1864
2011-09-30,1.3387,1.5584,0.012983,0.020427,0.15663,0.9521,0.5436,0.03109,0.054616,0.9662,0.7614,1.1011,0.145476,0.1705
2011-10-31,1.3858,1.6087,0.012793,0.020509,0.15763,0.9992,0.592,0.03321,0.056443,1.053,0.8067,1.1403,0.153759,0.1801
2011-11-30,1.3446,1.5704,0.012884,0.019091,0.15681,0.9827,0.5424,0.03189,0.052032,1.0283,0.7805,1.095,0.147854,0.1733
2011-12-31,1.2961,1.5543,0.013001,0.018802,0.15862,0.9789,0.536,0.03099,0.050123,1.0209,0.7772,1.0647,0.145273,0.1674
2012-01-31,1.3084,1.576,0.013112,0.020234,0.15853,0.9975,0.5729,0.03318,0.052517,1.0621,0.8268,1.0868,0.147062,0.1705
2012-02-29,1.3325,1.5917,0.012323,0.020406,0.15885,1.0102,0.5897,0.03441,0.054022,1.0732,0.8341,1.1056,0.151071,0.1788
2012-03-31,1.3343,1.6008,0.012068,0.019629,0.15883,1.0013,0.549,0.03399,0.053849,1.0346,0.8187,1.108,0.151174,0.1757
2012-04-30,1.3239,1.6234,0.012527,0.018977,0.15924,1.013,0.5296,0.034,0.053204,1.0429,0.8185,1.1019,0.148739,0.1748
2012-05-31,1.2365,1.5405,0.012769,0.017807,0.1577,0.9682,0.4963,0.03018,0.048238,0.9734,0.7537,1.0295,0.137581,0.1635
2012-06-30,1.2667,1.5707,0.01253,0.017912,0.15735,0.9837,0.4809,0.03037,0.049085,1.0238,0.8013,1.0542,0.144449,0.1678
2012-07-31,1.2304,1.5678,0.012801,0.017982,0.15707,0.9969,0.4902,0.03106,0.048586,1.0503,0.8087,1.0241,0.147083,0.1657
2012-08-31,1.2579,1.5866,0.012757,0.017976,0.15749,1.0139,0.4886,0.03093,0.050737,1.0322,0.8034,1.0472,0.150912,0.1725
2012-09-30,1.286,1.6167,0.01283,0.018959,0.15909,1.0165,0.492,0.0322,0.051401,1.0378,0.8301,1.064,0.152319,0.1747
2012-10-31,1.296,1.6129,0.012533,0.018586,0.16033,1.0006,0.4929,0.03196,0.052008,1.0376,0.8225,1.0736,0.150725,0.1754
2012-11-30,1.2986,1.6013,0.012125,0.018382,0.16059,1.0057,0.477,0.03238,0.051558,1.0428,0.8204,1.0775,0.150133,0.1763
2012-12-31,1.3193,1.6255,0.01153,0.018252,0.16047,1.0079,0.4884,0.03281,0.052514,1.0394,0.8288,1.0924,0.153777,0.1797
2013-01-31,1.3579,1.5857,0.010903,0.018799,0.16067,1.0028,0.5033,0.03326,0.0529,1.0425,0.8388,1.0989,0.157166,0.183
2013-02-28,1.3057,1.5163,0.010804,0.01838,0.16073,0.9703,0.5066,0.03272,0.051127,1.0215,0.8247,1.0675,0.154652,0.1743
2013-03-31,1.2819,1.5198,0.010614,0.018357,0.16101,0.9829,0.4945,0.03223,0.049691,1.0419,0.8371,1.0532,0.153142,0.171
2013-04-30,1.3168,1.5532,0.010263,0.018561,0.1622,0.9927,0.4976,0.03221,0.050687,1.0371,0.8563,1.076,0.154248,0.1733
2013-05-31,1.2999,1.5198,0.009949,0.017704,0.163,0.9637,0.4738,0.03136,0.050503,0.9571,0.7946,1.0468,0.15105,0.1704
2013-06-30,1.301,1.5213,0.010086,0.016831,0.16293,0.9506,0.4544,0.03054,0.05035,0.9138,0.7738,1.0582,0.149244,0.1648
2013-07-31,1.3302,1.5207,0.010216,0.016445,0.16316,0.9731,0.4387,0.03029,0.051315,0.8982,0.7985,1.0795,0.153475,0.1697
2013-08-31,1.3222,1.5504,0.010188,0.015132,0.1634,0.949,0.4236,0.03008,0.051445,0.8901,0.7727,1.0754,0.151085,0.1635
2013-09-30,1.3527,1.6186,0.01018,0.015974,0.1633,0.97,0.4431,0.03081,0.05248,0.9317,0.83,1.1052,0.155513,0.1663
2013-10-31,1.3584,1.604,0.010167,0.01628,0.16404,0.9587,0.4564,0.03118,0.053134,0.9456,0.8263,1.1027,0.154254,0.1683
2013-11-30,1.3591,1.6368,0.009762,0.016001,0.16411,0.9421,0.4319,0.03014,0.049675,0.9108,0.8124,1.1036,0.152854,0.1632
2013-12-31,1.3743,1.6557,0.009497,0.016166,0.16515,0.9414,0.4234,0.03046,0.050203,0.8917,0.8214,1.1199,0.155357,0.1647
2014-01-31,1.3486,1.6439,0.0098,0.01596,0.16489,0.8986,0.415,0.0284,0.049186,0.8756,0.8086,1.1033,0.152604,0.1592
2014-02-28,1.3802,1.6745,0.009825,0.016135,0.16273,0.9039,0.4311,0.02769,0.050459,0.8924,0.8389,1.1361,0.156026,0.1666
2014-03-31,1.3769,1.6662,0.009687,0.016739,0.16086,0.905,0.4418,0.02826,0.050318,0.9264,0.8663,1.1305,0.154545,0.167
2014-04-30,1.3867,1.6873,0.009781,0.01659,0.15976,0.9123,0.4471,0.02797,0.050368,0.9287,0.8617,1.1359,0.15383,0.1681
2014-05-31,1.3635,1.6755,0.009825,0.016924,0.16006,0.9221,0.4493,0.02876,0.049549,0.931,0.8499,1.1169,0.149501,0.1674
2014-06-30,1.3692,1.7106,0.009869,0.016626,0.16118,0.9373,0.4559,0.02945,0.049728,0.9433,0.8758,1.1276,0.149624,0.163
2014-07-31,1.339,1.6886,0.009728,0.016522,0.16198,0.917,0.4452,0.02813,0.048565,0.9295,0.85,1.1003,0.144986,0.1591
2014-08-31,1.3132,1.6598,0.009606,0.016491,0.16278,0.9192,0.4465,0.02707,0.047504,0.9339,0.8362,1.089,0.143037,0.1614
2014-09-30,1.2631,1.6213,0.00912,0.016191,0.16288,0.8932,0.4082,0.02533,0.045788,0.8747,0.7808,1.0471,0.138614,0.1557
2014-10-31,1.2525,1.5995,0.008901,0.016292,0.16359,0.8875,0.417,0.02368,0.045271,0.8798,0.7789,1.0388,0.135265,0.1481
2014-11-30,1.2452,1.5645,0.00843,0.016112,0.16276,0.8759,0.3957,0.02022,0.044982,0.8506,0.7841,1.0354,0.134076,0.1422
2014-12-31,1.2098,1.5577,0.008355,0.015843,0.16111,0.8605,0.3778,0.01703,0.043839,0.8175,0.7797,1.0057,0.128038,0.1342
2015-01-31,1.1291,1.506,0.008508,0.016147,0.15995,0.7854,0.3837,0.01416,0.040778,0.7762,0.7261,1.0866,0.120702,0.1293
2015-02-28,1.1196,1.5438,0.00836,0.016181,0.15947,0.7996,0.3438,0.01633,0.040861,0.7808,0.7564,1.0484,0.119981,0.1301
2015-03-31,1.0731,1.4818,0.008324,0.01598,0.16132,0.7884,0.3096,0.01719,0.039005,0.7607,0.747,1.0283,0.115866,0.1241
2015-04-30,1.1224,1.5351,0.008377,0.015746,0.16127,0.8283,0.3378,0.01948,0.040785,0.7905,0.7617,1.0722,0.120025,0.1328
2015-05-31,1.0986,1.5291,0.008055,0.015659,0.16138,0.8031,0.3165,0.01902,0.039982,0.7645,0.7107,1.0635,0.117383,0.1287
2015-06-30,1.1147,1.5712,0.008163,0.015703,0.16123,0.8003,0.32,0.01798,0.041045,0.7707,0.6765,1.0689,0.120593,0.1273
2015-07-31,1.0984,1.5622,0.008073,0.015598,0.16108,0.7641,0.2964,0.01648,0.040613,0.7308,0.6592,1.0349,0.115937,0.1223
2015-08-31,1.1211,1.5345,0.008249,0.015042,0.15685,0.761,0.2809,0.01492,0.041477,0.7113,0.634,1.0338,0.118033,0.1208
2015-09-30,1.1177,1.5128,0.008342,0.015235,0.15728,0.7512,0.2466,0.01527,0.041261,0.7018,0.6399,1.0274,0.119492,0.1174
2015-10-31,1.1006,1.5428,0.008291,0.0153,0.15809,0.7647,0.2598,0.01559,0.040612,0.7138,0.6778,1.0123,0.117138,0.1178
2015-11-30,1.0565,1.5056,0.008123,0.015003,0.15633,0.7484,0.26,0.0151,0.039133,0.7227,0.6584,0.9719,0.114607,0.115
2015-12-31,1.0862,1.4736,0.008316,0.015116,0.15414,0.7227,0.2525,0.01355,0.040378,0.7286,0.6831,0.9977,0.118379,0.1131
2016-01-31,1.0831,1.4244,0.008256,0.014733,0.15203,0.7158,0.2456,0.01316,0.040384,0.7084,0.6484,0.9775,0.116595,0.1152
2016-02-29,1.0873,1.3917,0.008874,0.014615,0.15271,0.7384,0.2505,0.01315,0.040303,0.7141,0.659,1.0015,0.116721,0.115
2016-03-31,1.138,1.436,0.008883,0.0151,0.15482,0.769,0.2781,0.01488,0.042052,0.7657,0.6909,1.0397,0.123133,0.1209
2016-04-30,1.1451,1.4612,0.009404,0.015067,0.15415,0.7965,0.2868,0.01559,0.04215,0.7603,0.6977,1.0424,0.124492,0.1242
2016-05-31,1.1132,1.4483,0.009031,0.014862,0.15201,0.7638,0.2805,0.01516,0.041266,0.7234,0.6763,1.0061,0.120011,0.1194
2016-06-30,1.1106,1.3311,0.009692,0.014815,0.15057,0.7737,0.3081,0.01559,0.041106,0.7451,0.7134,1.0245,0.118232,0.1196
2016-07-31,1.1174,1.323,0.009798,0.014928,0.1504,0.7667,0.3039,0.01492,0.041105,0.7596,0.7199,1.0315,0.116805,0.1184
2016-08-31,1.1158,1.3138,0.009669,0.014932,0.14972,0.763,0.309,0.01533,0.041236,0.7517,0.725,1.0164,0.116819,0.12
2016-09-30,1.1235,1.2972,0.009868,0.015019,0.14988,0.7618,0.3068,0.01579,0.04132,0.7664,0.7286,1.0295,0.116652,0.1253
2016-10-31,1.0981,1.2242,0.00954,0.014973,0.14765,0.7458,0.312,0.01583,0.040537,0.7609,0.7151,1.011,0.110709,0.1211
2016-11-30,1.0589,1.2506,0.008736,0.014605,0.1453,0.7442,0.2898,0.01548,0.039357,0.7385,0.7083,0.9829,0.10833,0.1173
2016-12-31,1.0517,1.234,0.008547,0.014734,0.14401,0.7441,0.3072,0.01625,0.039023,0.7208,0.6934,0.9815,0.10984,0.1157
2017-01-31,1.0798,1.2579,0.008865,0.014739,0.14514,0.7674,0.3198,0.01662,0.039606,0.7585,0.7312,1.0107,0.114378,0.1213
2017-02-28,1.0576,1.238,0.008868,0.014993,0.14558,0.7518,0.3266,0.01724,0.039205,0.7657,0.7192,0.9942,0.110648,0.1191
2017-03-31,1.0652,1.255,0.008977,0.015401,0.14516,0.7509,0.3175,0.0177,0.039483,0.7629,0.7006,0.9971,0.111477,0.1163
2017-04-30,1.0895,1.2951,0.008966,0.015546,0.14502,0.7324,0.3141,0.0176,0.040555,0.7488,0.6866,1.0052,0.112946,0.1165
2017-05-31,1.1244,1.289,0.009028,0.015501,0.14679,0.7407,0.3067,0.01764,0.042405,0.743,0.7085,1.0333,0.115091,0.1185
2017-06-30,1.1426,1.3025,0.008901,0.015474,0.14748,0.7714,0.3026,0.01689,0.043459,0.7689,0.7333,1.0435,0.118619,0.1198
2017-07-31,1.1842,1.3215,0.00907,0.015588,0.14864,0.8014,0.3192,0.01663,0.044975,0.8003,0.7512,1.0342,0.123952,0.1272
2017-08-31,1.191,1.293,0.009093,0.015644,0.1515,0.8011,0.3164,0.01714,0.04542,0.7947,0.7178,1.043,0.125958,0.1288
2017-09-30,1.1814,1.3398,0.008887,0.01531,0.15028,0.8019,0.3142,0.0173,0.045426,0.7834,0.7209,1.0328,0.122766,0.1256
2017-10-31,1.1646,1.3283,0.0088,0.015439,0.1508,0.7758,0.3045,0.01712,0.045336,0.7656,0.6847,1.0023,0.119365,0.1224
2017-11-30,1.1904,1.3525,0.008886,0.015505,0.15118,0.7754,0.3111,0.01711,0.046417,0.7566,0.6832,1.0167,0.119375,0.1202
2017-12-31,1.2005,1.3513,0.008874,0.015667,0.15366,0.7955,0.3019,0.01733,0.04687,0.7809,0.7098,1.0261,0.122227,0.1219
2018-01-31,1.2414,1.4191,0.009159,0.015724,0.15906,0.8121,0.3141,0.01778,0.049183,0.8055,0.7365,1.0738,0.126886,0.1296
2018-02-28,1.2194,1.376,0.009374,0.015346,0.15806,0.7793,0.3075,0.01776,0.04808,0.7762,0.7212,1.0587,0.12061,0.1265
2018-03-31,1.2324,1.4015,0.009409,0.015352,0.15933,0.7755,0.3024,0.01742,0.048547,0.7679,0.7237,1.0486,0.119885,0.1276
2018-04-30,1.2078,1.3763,0.009146,0.014982,0.15788,0.7786,0.2892,0.01591,0.047408,0.753,0.7035,1.0094,0.1143,0.1248
2018-05-31,1.1693,1.3298,0.00919,0.014818,0.15609,0.7717,0.2682,0.01611,0.045263,0.7568,0.7001,1.0144,0.113451,0.1223
2018-06-30,1.1684,1.3207,0.009034,0.01459,0.151,0.7614,0.2589,0.01592,0.044777,0.7405,0.6768,1.0096,0.111771,0.1227
2018-07-31,1.1691,1.3124,0.008939,0.014582,0.14633,0.7688,0.2682,0.01602,0.045851,0.7424,0.6818,1.0097,0.113741,0.1226
2018-08-31,1.1602,1.296,0.009005,0.014099,0.14628,0.7667,0.241,0.01472,0.045349,0.7189,0.6622,1.0321,0.109331,0.1192
2018-09-30,1.1604,1.3031,0.008796,0.013785,0.14529,0.7746,0.2492,0.01519,0.045073,0.7224,0.6619,1.0186,0.112483,0.1227
2018-10-31,1.1312,1.2766,0.008853,0.013522,0.14342,0.76,0.2703,0.0152,0.043776,0.7073,0.6517,0.9917,0.109104,0.1185
2018-11-30,1.1317,1.2749,0.008812,0.01435,0.14398,0.7523,0.2595,0.01498,0.043817,0.7306,0.6872,1.0015,0.109865,0.1163
2018-12-31,1.1467,1.2754,0.009123,0.014325,0.14538,0.7332,0.2576,0.01436,0.044529,0.7049,0.6719,1.0187,0.112887,0.1157
2019-01-31,1.1448,1.3109,0.009186,0.014055,0.14907,0.7619,0.2714,0.01532,0.044555,0.7273,0.6916,1.0057,0.110523,0.1186
2019-02-28,1.1371,1.3263,0.008978,0.014064,0.14952,0.7589,0.2682,0.01519,0.044492,0.7094,0.6807,1.002,0.108235,0.1168
2019-03-31,1.1218,1.3035,0.009021,0.014436,0.14897,0.7491,0.2563,0.01546,0.043464,0.7096,0.6804,1.0047,0.107592,0.1159
2019-04-30,1.1215,1.3032,0.008974,0.01436,0.14849,0.7468,0.2534,0.01553,0.043702,0.7048,0.6675,0.9811,0.105621,0.1159
2019-05-31,1.1169,1.2629,0.009235,0.014321,0.14467,0.7398,0.2511,0.01527,0.043177,0.6938,0.6531,0.9992,0.10531,0.1142
2019-06-30,1.1373,1.2696,0.009269,0.014473,0.14558,0.7637,0.2618,0.01586,0.044748,0.702,0.6718,1.0244,0.10771,0.1172
2019-07-31,1.1076,1.2159,0.009193,0.014531,0.1453,0.758,0.2638,0.01576,0.04344,0.6845,0.6559,1.0061,0.103492,0.1128
2019-08-31,1.0982,1.2156,0.009411,0.013992,0.13988,0.7513,0.2399,0.01506,0.042642,0.6733,0.6328,1.0099,0.1018,0.1096
2019-09-30,1.0899,1.2289,0.009253,0.014123,0.14009,0.7553,0.2404,0.01541,0.042303,0.675,0.6263,1.0021,0.101633,0.1099
2019-10-31,1.1152,1.2942,0.009257,0.014087,0.14197,0.7597,0.2507,0.01562,0.043723,0.6894,0.6413,1.0137,0.103602,0.1088
2019-11-30,1.1018,1.2925,0.009133,0.01394,0.14243,0.753,0.2387,0.01558,0.043095,0.6763,0.6422,0.9999,0.104467,0.1084
2019-12-31,1.1213,1.3257,0.009205,0.014018,0.14367,0.7698,0.2488,0.01608,0.044139,0.7021,0.674,1.0333,0.106726,0.1139
2020-01-31,1.1093,1.3206,0.009228,0.014007,0.1447,0.7554,0.2356,0.01575,0.043701,0.6692,0.6464,1.038,0.103913,0.1087
2020-02-29,1.1026,1.2823,0.00925,0.013858,0.14308,0.7467,0.2229,0.01488,0.04335,0.6515,0.6246,1.0359,0.104161,0.1064
2020-03-31,1.1031,1.242,0.009299,0.013263,0.1409,0.7109,0.1925,0.01281,0.040079,0.6131,0.5956,1.0404,0.100966,0.0962
2020-04-30,1.0955,1.2594,0.009329,0.013323,0.14188,0.7171,0.1874,0.01365,0.040087,0.6512,0.6127,1.0356,0.102461,0.0976
2020-05-31,1.1101,1.2343,0.009275,0.013229,0.14009,0.7259,0.185,0.01417,0.041326,0.6667,0.6205,1.0402,0.106068,0.1029
2020-06-30,1.1234,1.2401,0.009265,0.013228,0.14139,0.7366,0.1851,0.01409,0.041803,0.6903,0.6454,1.0556,0.107268,0.1039
2020-07-31,1.1778,1.3085,0.009447,0.013372,0.14341,0.7456,0.194,0.01353,0.045274,0.7143,0.6629,1.0949,0.11391,0.1099
2020-08-31,1.1936,1.337,0.009442,0.013631,0.14607,0.7664,0.1856,0.01354,0.045415,0.7376,0.6733,1.1065,0.115621,0.1145
2020-09-30,1.1721,1.292,0.009483,0.01356,0.14691,0.7507,0.1776,0.01276,0.04303,0.7162,0.6617,1.0859,0.11165,0.1072
2020-10-31,1.1647,1.2947,0.009555,0.013419,0.14952,0.7508,0.173,0.01263,0.042769,0.7028,0.6615,1.0906,0.112375,0.1049
2020-11-30,1.1927,1.3323,0.009586,0.013518,0.15211,0.7687,0.1871,0.01314,0.04582,0.7344,0.7017,1.1001,0.116504,0.1123
2020-12-31,1.2216,1.367,0.009679,0.01369,0.15288,0.7853,0.1925,0.01338,0.046737,0.7694,0.7184,1.1301,0.121546,0.1166
2021-01-31,1.2136,1.3708,0.009549,0.013713,0.15537,0.7827,0.1838,0.01315,0.046609,0.7644,0.7193,1.1226,0.119605,0.1169
2021-02-28,1.2075,1.3933,0.009385,0.013557,0.15475,0.785,0.1808,0.0134,0.046321,0.7706,0.7233,1.1006,0.118509,0.1154
2021-03-31,1.173,1.3783,0.009032,0.013677,0.15263,0.7961,0.1732,0.01325,0.044863,0.7598,0.6985,1.0595,0.114549,0.1169
2021-04-30,1.202,1.3822,0.009148,0.013496,0.15464,0.8137,0.1873,0.01332,0.046704,0.7716,0.7162,1.0951,0.11807,0.1202
2021-05-31,1.2227,1.4212,0.009126,0.013788,0.15693,0.8289,0.1914,0.01362,0.047767,0.7734,0.727,1.1125,0.120514,0.1201
2021-06-30,1.1858,1.3831,0.009,0.013451,0.15486,0.8066,0.2017,0.01367,0.046681,0.7498,0.6983,1.081,0.116952,0.1162
2021-07-31,1.187,1.3904,0.009117,0.013438,0.15475,0.8019,0.1968,0.01371,0.046676,0.7344,0.6974,1.1045,0.116364,0.1133
2021-08-31,1.1809,1.3755,0.009091,0.013706,0.15473,0.7927,0.1929,0.01364,0.046341,0.7316,0.7045,1.0926,0.115952,0.1151
2021-09-30,1.158,1.3474,0.008987,0.013459,0.15471,0.7885,0.1846,0.01373,0.045333,0.7227,0.6899,1.0735,0.114119,0.1143
2021-10-31,1.1558,1.3682,0.00877,0.013356,0.15633,0.8073,0.1771,0.01415,0.045398,0.7518,0.7171,1.0924,0.116404,0.1185
2021-11-30,1.1338,1.3299,0.008838,0.013311,0.15696,0.7825,0.1785,0.01338,0.044494,0.7127,0.6822,1.0888,0.110818,0.1107
